Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,null,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,80,22,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,33,16,11,0.04,0,0,0.11,0,0,0,2,2,2,0,0,6,2,0,0,46,5,0,0,1,2,0.0%,1,1,2,0,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,12,22,1,30.3%,81.8%,17,4,6,7,19,7,0.0%,1,0.00,0,1,2,2,0,0,0.04,0.00,0.04,0.00,0.04,2,1,0.04,1,0.00,0.00,46.9%,0.00,28,4,19,4,19,,,FOR vs CAV,true,false,false,true,false,2020-08-14,7st0tt53e4ksjueglfgouulg4,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,2,2,Played,T 2-2,2126218,FOR vs CAV (2020-08-14)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,79,22,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,46,14,26,0.05,0,0,0.00,0,0,0,0,0,4,0,0,5,2,0,0,55,5,0,0,0,0,0.0%,0,0,5,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,5,28,2,39.1%,87.0%,22,15,3,18,24,4,100.0%,1,0.00,0,1,0,0,0,0,0.05,0.00,0.05,0.00,0.05,0,0,0.05,1,0.00,-,25.9%,1.00,10,2,4,2,4,,,FOR vs EDM,true,false,true,false,false,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,73xrv2025rnj0t3y9ayp83bec,6925,6925,Forge,Edmonton,EDM,2,0,Played,W 2-0,2126225,FOR vs EDM (2020-08-16)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,77,22,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,8,1,43,14,20,0.88,1,0,0.00,1,0,0,0,0,3,1,1,4,1,0,0,59,5,1,0,1,3,33.3%,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,22,4,30.2%,79.1%,14,14,6,18,18,7,0.0%,1,0.00,1,2,2,2,1,0,0.10,0.79,0.10,0.79,0.10,0,0,0.44,2,0.00,0.00,48.8%,1.00,24,3,16,3,16,,,HFX vs FOR,false,true,false,true,false,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,1,1,Played,T 1-1,2126238,HFX vs FOR (2020-08-20)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Left Attacking Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Forge,1,34,22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,21,3,10,0.03,0,0,0.05,0,0,1,0,1,0,0,0,6,0,0,0,31,3,0,1,0,1,33.3%,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,15,1,57.1%,61.9%,5,6,2,6,10,5,100.0%,1,0.00,0,1,0,0,1,0,0.00,0.03,0.00,0.03,0.03,1,0,0.03,1,0.00,0.00,40.4%,0.00,25,3,16,3,16,,,FOR vs PAC,true,false,true,false,false,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,2,1,Played,W 2-1,2126242,FOR vs PAC (2020-08-22)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,35,8,18,0.00,0,1,0.17,0,0,0,2,2,4,1,0,6,3,1,0,45,6,0,0,0,1,0.0%,1,1,9,0,0,1,2,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,20,9,16,3,37.1%,74.3%,10,11,5,14,14,7,0.0%,1,0.00,0,0,1,1,0,0,0.00,0.00,0.00,0.00,0.00,1,0,-,0,-,-,42.5%,5.00,12,6,13,6,13,,,YRK vs FOR,false,true,false,false,true,2020-08-26,7tyu476shfl4lg1dm54shvt3o,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Forge,York United,YRK,2,3,Played,L 2-3,2126246,YRK vs FOR (2020-08-26)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,90,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,41,13,22,0.02,0,1,0.53,0,1,0,2,2,3,0,0,2,1,0,0,51,3,0,0,1,2,0.0%,1,1,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,10,24,0,41.5%,85.4%,18,11,6,13,21,7,-,0,0.00,0,1,1,1,1,0,0.00,0.02,0.00,0.02,0.02,1,0,0.02,1,0.00,0.00,48.6%,2.00,17,1,7,1,7,,,ATO vs FOR,false,true,true,false,false,2020-08-30,7ufagyfpmg0q5miihyn7181ec,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,2,0,Played,W 2-0,2126257,ATO vs FOR (2020-08-30)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Left Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Midfielder,Forge,1,29,22,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,3,3,0.45,0,0,1.00,1,2,1,2,3,2,0,0,4,2,0,0,14,0,0,0,0,0,-,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,4,1,1,57.1%,85.7%,1,3,2,3,1,3,-,0,0.00,0,1,0,0,0,0,0.39,0.06,0.39,0.06,0.45,3,0,0.22,2,1.00,-,37.8%,0.00,21,3,15,3,15,,,FOR vs VAL,true,false,false,true,false,2020-09-05,7utday42etwsaaqej3w9gmqz8,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Forge,Valour,VAL,2,2,Played,T 2-2,2126266,FOR vs VAL (2020-09-05)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,82,22,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,8,3,42,7,24,0.82,1,0,0.04,1,0,0,1,1,0,0,0,0,0,0,0,51,4,0,0,0,0,0.0%,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,17,6,28,2,42.9%,73.8%,22,7,2,12,25,5,0.0%,1,0.00,1,1,0,0,0,0,0.03,0.79,0.03,0.79,0.03,1,0,0.41,2,0.00,0.00,36.6%,2.00,15,2,15,2,15,,,HFX vs FOR,false,true,false,true,false,2020-09-09,8plkm1srpcwr60o1i31ksltsk,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,1,1,Played,T 1-1,2137183,HFX vs FOR (2020-09-09)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Right Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Forge,1,38,22,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,16,3,7,0.07,0,0,0.03,0,0,1,0,1,0,0,0,4,0,0,0,22,1,2,0,0,2,100.0%,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4,2,31.3%,62.5%,2,5,3,9,4,3,-,0,0.00,0,0,1,1,0,1,0.07,0.00,0.07,0.00,0.07,1,0,0.07,1,-,-,19.6%,0.00,22,4,16,4,16,,,FOR vs PAC,true,false,true,false,false,2020-09-12,al6itp61bch64gv1bhhncxyqc,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Forge,Pacific,PAC,2,0,Played,W 2-0,2137184,FOR vs PAC (2020-09-12)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,1,73,22,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,3,32,8,12,0.14,0,0,0.00,0,0,0,0,0,1,0,0,2,1,0,0,42,6,1,0,2,3,100.0%,0,0,6,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,27,1,46.9%,62.5%,15,4,1,5,22,5,0.0%,2,0.00,0,0,1,1,2,0,0.14,0.00,0.14,0.00,0.14,0,0,0.07,2,-,-,17.9%,3.00,30,3,23,3,23,,,CAV vs FOR,false,true,true,false,false,2020-09-15,dykc0lh8alwaa1f7yjoh09bf8,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,1,0,Played,W 1-0,2137186,CAV vs FOR (2020-09-15)
