Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,cseaof8mo75i2fufyg0b4bpat,179163,F. Aird,Fraser Aird,Right Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,133078,Fraser,Aird,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Edmonton,1,90,26,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,5,52,12,26,0.09,0,0,0.35,0,0,4,2,6,1,0,0,4,1,0,0,94,4,0,0,0,4,0.0%,4,0,8,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,35,26,33,0,65.4%,73.1%,21,8,9,9,25,18,100.0%,2,0,0,18,4,4,0,0,0,0.09,0,0.09,0.09,6,0,0.04,2,0.5,0.5,40.5%,1,11,16,4,16,,HFX vs EDM,false,true,false,false,true,2021-09-25,bkml8n1v38rh9pon9u6g0hrmc,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Edmonton,HFX Wanderers,HFX,0,1,Played,L 0-1,2227630,HFX vs EDM (2021-09-25)
1,6ptroe7b9vgzimcvzo2fehcr9,166455,M. Petrasso,Michael Petrasso,Centre Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,167890,Michael,Petrasso,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,York United,1,74,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,4,15,0,0,1,1.12,0,2,1,5,6,2,0,0,5,2,0,0,44,2,1,0,0,1,50.0%,0,0,4,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,17,2,30.4%,82.6%,8,11,0,13,10,0,0.0%,1,0,0,8,1,1,0,0,0,0,0,0,0,5,0,-,0,0.75,0.8,39.5%,3,14,14,3,14,,YRK vs VAL,true,false,true,false,false,2021-09-26,bkvj7w12bpzuibxw3rioaledw,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,York United,Valour,VAL,2,1,Played,W 2-1,2227633,YRK vs VAL (2021-09-26)
3,et1pw51sazo82s0oby2fkxtqt,107748,Rafael Galhardo,Rafael Galhardo de Souza,Centre Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,76725,Rafael,Galhardo de Souza,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Valour,1,86,29,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,32,12,13,0.05,0,0,0.58,0,1,3,2,5,2,0,0,5,1,0,0,50,5,1,0,1,2,33.3%,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,4,25,0,31.3%,78.1%,14,7,4,10,18,4,-,0,0,0,6,0,0,1,1,0,0.05,0,0.05,0.05,5,0,0.05,1,0.67,1,28.6%,1,20,17,1,17,,VAL vs PAC,true,false,false,false,true,2021-08-17,bi15l7rdz3145hkrmzhfevo5w,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,0,2,Played,L 0-2,2227595,VAL vs PAC (2021-08-17)
3,et1pw51sazo82s0oby2fkxtqt,107748,Rafael Galhardo,Rafael Galhardo de Souza,Centre Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,76725,Rafael,Galhardo de Souza,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Valour,1,90,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,46,15,21,0.02,0,0,0.39,0,0,3,2,5,2,0,0,1,1,1,1,63,3,0,0,1,3,-,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,7,36,0,39.1%,78.3%,24,8,4,11,30,5,-,0,0,0,7,2,2,1,0,0.02,0,0.02,0,0.02,5,0,0.02,1,0.43,-,35.1%,0,20,15,1,15,,PAC vs VAL,false,true,false,false,true,2021-08-29,biun3bptgp2xvomjrh73s26ms,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,3,Played,L 2-3,2227607,PAC vs VAL (2021-08-29)
3,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Winger,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Winger,Pacific,1,90,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,50,16,25,0.12,0,0,0.68,0,1,3,2,5,4,1,1,6,3,0,0,74,7,0,0,0,0,0.0%,0,0,3,1,0,0,2,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,27,3,44,4,28.0%,82.0%,29,9,3,13,34,3,-,0,0,0,8,0,0,0,0,0.12,0,0.12,0,0.12,5,0,0.12,1,0.5,0.33,29.3%,1,18,19,4,19,,PAC vs FOR,true,false,false,false,true,2021-07-18,1ktsbttnrcdwflzmimluf38r8,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Pacific,Forge,FOR,1,2,Played,L 1-2,2208294,PAC vs FOR (2021-07-18)
3,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Winger,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Winger,Pacific,1,90,25,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,25,11,14,0.2,1,1,0.53,0,1,2,3,5,6,1,0,6,1,0,0,56,12,0,2,0,3,66.7%,1,0,9,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,8,21,5,20.0%,100.0%,13,8,4,8,13,4,0.0%,2,0,0,8,1,1,2,0,0.2,0,0.2,0,0.2,4,0,0.1,2,0.38,0,16.1%,4,19,19,2,19,,PAC vs CAV,true,false,true,false,false,2021-07-31,bgxuf1pcl4jn23rwapgkn0cgk,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Pacific,Cavalry,CAV,2,0,Played,W 2-0,2227576,PAC vs CAV (2021-07-31)
3,6ptroe7b9vgzimcvzo2fehcr9,166455,M. Petrasso,Michael Petrasso,Second Striker,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,167890,Michael,Petrasso,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Second Striker,York United,1,89,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,5,10,0.07,0,2,0.54,0,1,2,3,5,1,0,0,4,1,2,1,34,3,1,1,1,3,100.0%,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,17,2,15,4,30.0%,75.0%,8,7,0,7,12,1,-,0,0,0,3,0,0,1,2,0.07,0,0.07,0,0.07,3,0,0.07,1,0.33,-,23.9%,2,19,22,2,22,,HFX vs YRK,false,true,false,true,false,2021-09-06,bjbsocbro4ip62endm5e32yhg,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,3,3,Played,T 3-3,2227613,HFX vs YRK (2021-09-06)
3,6ptroe7b9vgzimcvzo2fehcr9,166455,M. Petrasso,Michael Petrasso,Centre Attacking Midfielder,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,167890,Michael,Petrasso,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,York United,1,90,26,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,37,6,26,0.32,0,1,0.34,0,0,2,3,5,9,0,0,6,4,0,0,63,6,0,0,0,0,-,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,39,0,24,5,45.9%,86.5%,19,13,0,16,21,0,0.0%,1,0,0,9,0,0,0,0,0.25,0.08,0.25,0.08,0.32,4,0,0.11,3,0.11,0,33.3%,0,10,10,6,10,,YRK vs HFX,true,false,false,true,false,2021-10-03,bl6sp2hdap83y3c9wbykg2uc4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,2,2,Played,T 2-2,2227637,YRK vs HFX (2021-10-03)
3,cqu6f2gdqsceak3ifi433tyvp,238810,J. Gagnon-Laparé,Jérémy Gagnon-Laparé,Left Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,170868,Jérémy,Gagnon-Laparé,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Midfielder,HFX Wanderers,1,90,26,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,77,23,49,0.1,0,1,1.39,0,2,3,2,5,5,1,1,9,4,0,0,98,2,0,4,0,5,80.0%,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,51,22,25,5,11.7%,93.5%,21,36,15,41,21,15,-,0,0,0,5,3,3,1,1,0.03,0.07,0.03,0.07,0.1,4,0,0.05,2,0.4,0.33,36.4%,2,15,11,8,11,,YRK vs HFX,false,true,false,true,false,2021-08-25,bifj6qdoi8yfg9elkwof5yfx0,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,1,1,Played,T 1-1,2227601,YRK vs HFX (2021-08-25)
3,cqu6f2gdqsceak3ifi433tyvp,238810,J. Gagnon-Laparé,Jérémy Gagnon-Laparé,Left Back,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,170868,Jérémy,Gagnon-Laparé,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,HFX Wanderers,1,90,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,54,23,26,0,0,1,1.12,0,2,2,3,5,2,0,0,6,2,0,0,75,3,0,1,1,6,33.3%,3,1,7,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,15,47,1,33.3%,90.7%,35,7,7,7,38,9,100.0%,1,0,0,4,5,5,1,0,0,0,0,0,0,4,1,-,0,0.75,0.75,17.6%,2,14,27,1,27,,YRK vs HFX,false,true,false,true,false,2021-10-03,bl6sp2hdap83y3c9wbykg2uc4,cqthcpums3aas2tdy0qhlkuwa,15382,15382,HFX Wanderers,York United,YRK,2,2,Played,T 2-2,2227637,YRK vs HFX (2021-10-03)
