Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,null
1,2sc081mofdwjhdhyggnz78b9,77881,L. Perea,Luis Alberto Perea,Centre Forward,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,113755,Luis Alberto,Perea,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,HFX Wanderers,15,1014,35,3,6,2,11,7,4,2,1,4,0,3,2,2,0,0,3,0,1,0,0,1,0,3,5,9,63,12,302,82,145,3.42,3,1,0.87,5,1,1,11,12,15,1,0,41,9,0,0,441,58,4,6,2,13,58.8%,1,0,36,7,1,3,3,0,9,4,2,0,0,0,0,0,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,22,202,24,215,33,24.8%,75.2%,130,83,14,121,165,16,41.7%,24,0.00,3,4,3,3,5,5,1.72,1.71,1.72,1.71,1.85,11,0,0.19,18,0.25,0.25,31.1%,17.00,376,28,317,28,317,
1,1mg5xen2me6dsqu3b0lktvnbp,92004,M. Haber,Marcus Haber,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,81402,Marcus,Haber,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,13,703,32,7,1,1,6,6,0,0,0,13,0,13,1,1,0,0,3,0,0,2,8,4,0,1,0,7,59,13,177,38,67,4.19,3,0,1.36,6,1,1,8,9,1,0,0,75,0,0,0,264,53,0,2,1,10,66.7%,7,6,21,9,0,5,4,0,6,9,1,0,0,0,0,0,13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,9,132,18,114,36,21.5%,59.3%,59,43,3,76,92,9,68.1%,94,0.00,1,5,7,7,1,2,3.07,1.12,3.07,1.12,3.41,9,1,0.22,19,0.20,0.20,32.4%,11.00,300,22,244,22,244,
1,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Centre Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,173165,Marco,Bustos,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Valour,25,2249,24,0,1,1,27,16,11,7,10,17,11,5,2,2,2,0,6,1,4,0,0,0,7,0,40,4,130,21,912,228,533,6.77,7,3,4.28,7,4,16,27,43,95,7,4,144,54,1,0,1417,155,3,19,12,37,44.9%,3,1,105,6,3,15,20,4,33,5,6,0,0,0,0,0,48,44,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,16,50,673,95,649,75,23.0%,83.4%,409,305,47,376,476,60,32.4%,34,0.00,3,74,17,17,15,5,4.53,2.24,4.53,2.24,5.19,40,0,0.11,61,0.24,0.18,33.4%,59.00,517,74,453,74,453,
1,b84lif9t7gwlw9ou9izawvumt,33727,D. Edgar,David Edward Edgar,Right Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,40345,David Edward,Edgar,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Forge,11,834,33,2,0,0,2,2,0,0,0,4,1,1,0,0,1,0,1,0,1,1,1,1,0,0,2,2,57,24,501,284,136,0.99,1,0,0.00,1,0,0,0,0,1,0,0,29,1,0,0,594,16,6,6,8,56,75.0%,36,16,39,0,0,5,0,3,0,1,6,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,20,316,258,8,46.7%,83.8%,207,9,204,10,242,249,65.0%,20,0.00,1,2,48,48,8,0,0.66,0.33,0.66,0.33,0.99,0,5,0.17,6,0.00,0.00,37.8%,3.00,269,5,184,5,184,
1,ckozved8umsj42boq3tte1byt,52281,M. de Jong,Marcel de Jong,Centre Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,39226,Marcel,de Jong,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Pacific,2,50,34,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,19,5,9,0.11,0,0,0.07,0,0,0,1,1,2,0,0,5,0,0,0,39,2,0,3,0,5,100.0%,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,10,7,4,21.1%,73.7%,2,8,4,11,3,5,50.0%,2,0.00,0,6,3,3,1,1,0.11,0.00,0.11,0.00,0.11,1,0,0.06,2,0.00,0.00,34.8%,0.00,106,1,57,1,57,
1,8ad2vcq9xcul0kkfms8qo0wk5,276111,A. Achinioti-Jönsson,Alexander Börje Achinioti-Jönsson,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,183434,Alexander Börje,Achinioti-Jönsson,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,25,1760,24,5,4,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,102,51,848,409,286,0.75,0,2,1.17,1,2,2,4,6,24,1,1,126,19,1,1,1100,78,13,30,43,122,72.9%,36,15,110,8,0,21,2,14,19,0,10,0,0,0,0,0,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,5,95,278,727,7,27.6%,82.0%,496,62,137,75,601,172,54.4%,57,0.00,0,0,68,68,50,4,0.12,0.63,0.12,0.63,0.75,4,5,0.15,5,-,-,41.9%,39.00,515,10,345,10,345,
1,614w28s7cigyjam7f10hz9gwl,198782,T. Ameobi,Tomi Ameobi,Centre Forward,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,45750,Tomi,Ameobi,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Edmonton,23,1859,32,2,6,0,10,10,0,0,1,12,7,4,1,1,0,0,4,0,1,1,3,3,0,3,1,15,102,26,502,125,249,4.22,4,0,2.15,5,3,1,21,22,20,2,0,135,7,1,0,776,174,11,15,7,48,63.4%,14,9,63,25,2,22,9,3,18,5,5,0,0,0,0,0,22,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,6,42,302,58,416,59,26.7%,74.5%,215,140,19,180,296,26,52.4%,143,0.00,2,4,22,22,20,6,1.32,2.91,1.32,2.91,3.43,22,1,0.18,23,0.25,0.25,37.5%,35.00,573,32,328,32,328,
1,86tz9u1o9o5u0lbyycyd3df4l,34537,N. Ledgerwood,Nikolas Ledgerwood,Central Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,37057,Nikolas,Ledgerwood,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Cavalry,20,1317,36,5,9,2,9,5,4,1,3,8,6,1,2,2,0,0,3,0,1,0,0,1,0,3,5,11,152,33,511,172,154,2.85,3,0,1.56,4,2,8,6,14,7,1,1,86,3,0,0,767,79,17,25,22,78,67.7%,12,4,114,7,6,16,2,6,17,3,6,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,12,201,169,397,18,51.3%,63.8%,203,54,69,89,313,109,51.6%,31,0.00,3,40,36,36,31,11,1.04,1.81,1.04,1.81,1.27,14,3,0.14,21,0.33,0.00,43.4%,40.00,395,26,307,26,307,
1,ewjp0ru1c4fn1h5bqyqdih0wl,168287,B. Fisk,Ben Fisk,Right Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,152275,Ben,Fisk,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Pacific,24,1663,28,5,14,0,19,14,5,5,6,13,6,7,1,0,2,0,5,1,5,0,0,1,1,5,11,20,86,36,546,171,253,6.05,6,5,2.84,7,4,8,21,29,41,3,3,52,13,0,0,859,101,6,22,2,40,54.9%,8,6,91,6,3,13,2,4,4,13,4,0,0,0,0,0,29,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,22,28,339,113,407,53,30.8%,77.7%,264,110,50,144,323,79,7.7%,13,0.00,4,65,19,19,16,5,4.28,1.76,4.28,1.76,5.26,24,2,0.14,43,0.23,0.18,33.5%,32.00,612,35,466,35,466,
1,ex7za2yvl9xrcdtr60ake2bit,223829,N. Ingham,Nathan Ingham,Goalkeeper,15382,York United,York,YRK,cqthcpums3aas2tdy0qhlkuwa,222921,Nathan,Ingham,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Goalkeeper,York United,26,2340,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,53,874,477,144,0.00,0,0,0.00,0,0,0,0,0,0,0,0,24,0,0,0,1170,1,0,0,0,12,-,12,1,38,0,0,0,0,13,0,0,6,12,0,1,6,17,34,25,9,0,88,6,9,30,52,12,0,70,60,28,12,37,1,14,21,0,0,0,44,0,0,0,1161,9,0,69.5%,71.1%,3,0,618,0,7,867,93.8%,16,28.57,0,0,12,12,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-,0,-,-,33.7%,0.00,582,8,435,8,435,
