Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Season,seasonId,scatterId,scatterExtra
1,3141if674kt100fnbi3unstsl,202957,T. Field,Tom Field,Left Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,170004,Tom,Field,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Cavalry,8,382,24,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,174,58,76,0,0,1,0.15,0,0,1,2,3,5,0,0,32,4,0,0,288,14,14,7,5,35,80.8%,7,6,19,0,0,2,1,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,87,74,127,0,42.5%,77.0%,83,27,24,36,98,40,45.5%,11,0,0,17,24,24,7,4,0,0,0,0,0,2,2,-,0,0.24,0.21,39.6%,4,160,112,1,112,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:3141if674kt100fnbi3unstsl,Canadian Premier League 2021 (Canada)
1,bzfamx9nfvg0cwshyldxiea5l,258325,P. Sabak,Paolo Sabak,Centre Forward,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,229907,Paolo,Sabak,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Forge,20,1093,22,7,12,0,6,4,2,2,4,4,2,2,1,1,1,0,1,0,0,0,1,0,0,1,4,5,77,20,496,125,274,1.52,1,1,0.94,1,0,8,10,18,30,1,0,63,19,7,1,705,73,4,8,5,19,44.4%,2,1,66,3,0,14,10,5,16,2,6,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,27,309,57,339,30,30.6%,80.4%,221,151,27,194,263,39,14.3%,7,0,1,22,3,3,10,6,0.65,0.87,0.65,0.87,0.73,17,0,0.09,16,0.27,0.26,35.9%,25,345,265,46,265,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:bzfamx9nfvg0cwshyldxiea5l,Canadian Premier League 2021 (Canada)
1,am6blpv9h0wzsn8rjv1q0zpp1,195876,A. Díaz,Alejandro Díaz Liceága,Centre Forward,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173493,Alejandro,Díaz Liceága,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Forward,Pacific,26,1825,25,5,15,3,20,16,4,8,2,18,5,7,2,2,1,0,10,0,7,3,9,6,1,6,8,15,97,16,408,97,198,8.89,10,4,3.31,13,6,1,20,21,28,5,2,55,13,3,2,640,93,4,2,1,13,46.2%,6,3,60,15,1,4,3,0,9,17,5,0,0,0,0,0,26,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,28,322,23,295,73,24.0%,72.3%,166,124,5,173,225,10,45.5%,55,0,8,10,8,8,3,2,6.21,2.68,6.21,2.68,7.31,17,1,0.19,48,0.2,0.2,36.9%,43,442,321,30,321,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:am6blpv9h0wzsn8rjv1q0zpp1,Canadian Premier League 2021 (Canada)
1,7pb4kdsbaj2dfwo99st2v7g7p,78971,A. Bouka,Arnold Bouka Moutou,Left Back,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,44082,Arnold,Bouka Moutou,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Back,Valour,14,1007,32,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,55,492,204,167,0.04,0,0,0.1,0,0,0,3,3,25,0,0,67,13,0,0,780,47,8,12,9,52,74.1%,20,8,64,1,4,6,2,10,5,1,2,0,0,0,0,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,4,6,125,296,359,5,47.6%,75.4%,219,48,104,58,273,161,53.1%,32,0,0,23,40,40,10,2,0.04,0,0.04,0,0.04,3,2,0.04,1,0.17,0.17,31.7%,5,343,230,6,230,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:7pb4kdsbaj2dfwo99st2v7g7p,Canadian Premier League 2021 (Canada)
1,et1pw51sazo82s0oby2fkxtqt,107748,Rafael Galhardo,Rafael Galhardo de Souza,Centre Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,76725,Rafael,Galhardo de Souza,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Valour,22,1289,29,9,6,0,7,2,5,2,5,17,14,3,0,0,8,0,1,1,2,0,0,0,0,2,2,22,81,30,530,161,258,2.8,2,2,4.75,4,6,16,22,38,14,0,0,48,4,3,2,776,58,8,5,6,22,48.1%,3,1,53,3,4,10,6,3,20,3,4,0,0,0,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,12,277,67,432,22,29.8%,79.1%,278,103,38,134,345,51,25.0%,8,0,1,68,6,6,12,4,1.81,0.98,1.81,0.98,2.8,36,0,0.09,31,0.34,0.5,31.5%,20,513,353,28,353,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:et1pw51sazo82s0oby2fkxtqt,Canadian Premier League 2021 (Canada)
1,4ezd4d37kbb1249qd7bvi0dzp,294422,J. Dixon,Jamar Dixon,Central Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,208512,Jamar,Dixon,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Pacific,22,1587,32,2,11,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,72,25,748,327,324,0.28,0,0,0.8,0,1,0,9,9,23,0,0,87,16,0,0,950,107,16,26,9,73,64.6%,22,15,99,5,6,39,2,3,7,0,5,0,0,0,0,0,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,21,4,17,126,147,677,6,24.1%,87.0%,509,74,68,81,583,84,53.1%,32,0,0,4,37,37,28,8,0.03,0.25,0.03,0.25,0.28,9,4,0.06,5,0,0,36.8%,35,375,274,9,274,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:4ezd4d37kbb1249qd7bvi0dzp,Canadian Premier League 2021 (Canada)
1,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Winger,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Winger,Pacific,16,1280,25,2,3,3,19,14,5,2,1,12,7,5,1,1,1,0,7,0,6,1,0,1,5,1,26,4,63,6,548,153,326,3.99,7,5,2.88,5,3,12,16,28,85,19,10,100,47,4,3,891,101,5,13,4,26,46.2%,2,0,72,7,3,8,12,2,18,5,7,0,0,0,0,0,14,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,12,25,452,49,390,67,20.4%,87.4%,271,188,20,226,298,24,30.0%,10,0,3,58,8,8,13,5,2.85,1.14,2.85,1.14,3.2,23,1,0.12,34,0.28,0.19,36.3%,39,250,190,42,190,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:7t6lyj5pvvgzfscj775acuqc5,Canadian Premier League 2021 (Canada)
1,apavbqkzwn6ik22hi8d8mo1qt,227291,M. Tissot,Maxim Tissot,Left Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,153578,Maxim,Tissot,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Centre Back,Forge,7,303,29,5,1,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,10,186,79,76,0.22,0,1,0.44,0,1,1,1,2,0,0,0,14,0,2,2,223,11,3,1,2,11,100.0%,5,0,13,0,0,5,0,2,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,19,63,141,0,38.2%,83.3%,110,7,38,7,129,50,54.5%,11,0,0,6,7,7,4,0,0.13,0.09,0.13,0.09,0.22,1,2,0.04,6,0.67,0.67,31.1%,4,107,89,3,89,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:apavbqkzwn6ik22hi8d8mo1qt,Canadian Premier League 2021 (Canada)
1,cqmccsnz1p7ja9gsghav1ddxx,110667,D. Jakovic,Dejan Jakovic,Right Centre Back,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,60536,Dejan,Jakovic,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Centre Back,Forge,5,403,36,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,16,211,120,56,0.04,0,0,0.12,0,0,1,0,1,2,0,0,19,1,0,0,250,12,5,1,3,20,66.7%,11,5,26,0,2,3,0,3,1,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,120,127,2,39.8%,83.4%,103,0,73,2,116,93,72.7%,11,0,0,0,16,16,4,0,0,0.04,0,0.04,0.04,1,5,0.04,1,-,-,36.2%,2,87,56,1,56,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:cqmccsnz1p7ja9gsghav1ddxx,Canadian Premier League 2021 (Canada)
1,cseaof8mo75i2fufyg0b4bpat,179163,F. Aird,Fraser Aird,Right Back,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,133078,Fraser,Aird,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Edmonton,26,2026,26,4,6,0,11,3,8,1,3,14,10,3,3,3,7,0,3,2,2,0,0,0,0,5,1,24,225,70,928,265,368,3.53,5,4,4.92,3,6,31,20,51,47,3,2,97,24,4,1,1626,82,26,28,23,113,71.1%,34,8,126,6,12,9,2,6,3,2,3,0,2,0,0,0,33,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,6,7,479,407,740,25,54.7%,68.2%,385,109,139,154,540,234,44.4%,18,0,3,221,78,78,31,4,0.59,2.94,0.59,2.94,1.17,47,6,0.12,29,0.31,0.23,33.2%,31,481,373,50,373,Canadian Premier League 2021 (Canada),a7m2aoup9b8iaz871b2ep5wr8,a7m2aoup9b8iaz871b2ep5wr8:cseaof8mo75i2fufyg0b4bpat,Canadian Premier League 2021 (Canada)
