Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,PassesIntoBox,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,null,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,2,2,0,0,3,8,2,2,0,0,1,0,0,0,0,0,2,0,0,0,6,2,37,15,347,169,126,1.25,0,0,1.09,1,1,5,4,9,24,2,0,44,13,0,0,518,53,4,8,9,50,52.2%,26,13,43,2,5,6,3,3,3,2,0,0,0,0,0,0,2,1,1,0,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,4,6,107,198,213,15,30.3%,85.0%,145,43,107,51,167,129,41.7%,24,0.31,0,17,40,40,8,2,0.42,0.84,0.42,0.84,1.25,9,2,0.10,13,0.12,0.00,21.7%,5.00,11,4,17,4,17,6925,,,FOR vs EDM,false,true,false,false,true,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,c2pdzdl3dgf5b0siidn2ay5ii,15377,15377,Edmonton,Forge,FOR,0,2,Played,L 0-2,2126225,FOR vs EDM (2020-08-16)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,0,2,0,0,0,2,1,58,13,235,82,82,0.26,0,0,0.11,0,0,2,0,2,13,0,0,52,6,0,0,417,46,4,7,11,51,64.7%,28,9,41,7,3,7,3,7,5,4,0,0,0,0,0,0,2,2,0,0,3,0,0,1,2,1,0,2,2,1,1,1,0,1,0,0,1,1,5,6,10,71,153,193,7,48.5%,69.8%,89,19,56,30,125,80,65.6%,32,2.92,0,8,38,38,11,2,0.08,0.18,0.08,0.18,0.26,2,1,0.05,5,0.25,0.00,40.0%,7.00,13,3,11,3,11,6925,,,EDM vs CAV,true,false,false,false,true,2020-08-21,7tigxj35sgqjbet0qxe22v21g,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Edmonton,Cavalry,CAV,0,2,Played,L 0-2,2126240,EDM vs CAV (2020-08-21)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,3,1,3,1,4,0,0,0,0,0,0,2,0,2,0,3,0,2,0,4,1,44,15,481,219,203,2.38,2,1,1.74,3,2,6,2,8,24,0,0,58,11,0,0,679,52,4,14,9,40,81.8%,10,6,41,8,4,5,5,6,5,0,0,0,1,0,0,0,2,2,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,1,0,0,0,3,1,6,11,150,193,336,14,30.4%,87.7%,241,62,119,68,276,137,53.8%,26,0.73,2,24,25,25,10,5,1.66,0.72,1.66,0.72,2.38,7,2,0.20,12,0.21,0.13,22.2%,12.00,14,11,12,11,12,6925,,,ATO vs EDM,false,true,false,true,false,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Edmonton,Atlético Ottawa,ATO,2,2,Played,T 2-2,2126243,ATO vs EDM (2020-08-23)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,3,1,2,2,3,4,2,2,1,0,1,0,0,1,1,0,0,0,0,1,4,3,65,26,539,263,185,1.25,1,0,0.29,1,0,0,6,6,29,2,0,69,13,0,0,773,58,11,12,11,47,69.7%,12,3,54,3,1,6,4,4,11,0,0,0,0,0,0,2,3,3,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,12,150,248,375,19,34.3%,83.1%,250,54,144,72,290,177,58.3%,24,1.17,0,17,25,25,21,1,0.32,0.93,0.32,0.93,0.46,6,2,0.10,12,0.29,0.31,48.1%,10.00,22,12,18,12,18,6925,,,EDM vs HFX,true,false,false,false,true,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Edmonton,HFX Wanderers,HFX,1,3,Played,L 1-3,2126249,EDM vs HFX (2020-08-27)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,2,2,0,4,1,4,2,1,0,0,0,0,1,0,1,1,1,1,0,0,2,2,63,23,475,191,198,0.89,1,1,0.80,1,1,1,9,10,34,5,2,69,20,1,0,676,56,12,8,5,35,66.7%,9,7,67,4,1,8,1,8,7,1,0,0,0,0,0,0,2,2,0,0,2,0,0,1,2,0,0,2,2,0,1,0,0,0,0,0,0,3,3,6,12,162,200,314,24,37.9%,81.9%,208,67,114,82,248,145,52.0%,25,1.65,0,22,23,23,10,2,0.75,0.15,0.75,0.15,0.89,9,0,0.08,11,0.09,0.06,23.3%,12.00,28,19,19,19,19,6925,,,VAL vs EDM,false,true,false,false,true,2020-08-29,7u70ahhsjfxqkqyoibw4kuql0,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Edmonton,Valour,VAL,1,2,Played,L 1-2,2126254,VAL vs EDM (2020-08-29)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,56,20,455,247,132,0.36,0,0,0.21,0,0,1,3,4,15,0,0,59,7,1,1,646,55,5,19,12,46,60.0%,10,4,53,1,3,6,2,6,8,2,0,0,0,0,0,0,1,0,1,0,3,0,0,1,3,0,0,3,1,2,0,2,0,0,0,0,0,1,1,0,13,109,242,295,12,36.5%,83.3%,202,36,141,51,232,172,57.1%,21,1.24,0,16,26,26,18,2,0.16,0.19,0.16,0.19,0.36,4,4,0.06,6,0.25,0.17,34.2%,9.00,20,12,11,12,11,6925,,,EDM vs YRK,true,false,false,false,true,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,0,1,Played,L 0-1,2126259,EDM vs YRK (2020-09-02)
1,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,80,22,386,174,110,1.77,1,0,0.86,2,1,1,4,5,17,2,0,52,6,0,0,571,66,6,12,19,58,56.3%,19,11,63,2,5,11,1,5,4,5,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,4,11,90,233,248,14,41.5%,73.6%,140,32,112,44,184,158,56.3%,32,1.98,1,10,41,41,17,0,0.28,1.49,0.28,1.49,1.77,5,6,0.20,9,0.20,0.17,36.2%,12.00,25,13,16,13,16,6925,,,PAC vs EDM,false,true,false,false,true,2020-09-06,7v18c0lc1p8rx62p3chr1w07o,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Edmonton,Pacific,PAC,1,2,Played,L 1-2,2126273,PAC vs EDM (2020-09-06)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,2,2,2,1,2,1,0,0,0,0,0,2,0,2,1,1,1,0,1,2,2,63,39,374,164,108,0.89,2,1,0.67,1,1,2,5,7,17,1,1,55,6,0,0,559,62,6,7,12,51,56.5%,26,15,44,5,4,8,3,5,11,3,0,0,0,0,0,1,2,2,0,0,4,0,0,2,2,0,0,4,3,1,0,2,0,0,2,0,0,4,3,12,5,104,261,194,13,43.0%,72.7%,116,39,117,51,145,178,37.8%,45,1.74,1,9,43,43,6,2,0.78,0.11,0.78,0.11,0.89,6,3,0.10,9,0.22,0.17,46.9%,7.00,28,11,19,11,19,15377,,,FOR vs CAV,true,false,false,true,false,2020-08-14,7st0tt53e4ksjueglfgouulg4,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Forge,Cavalry,CAV,2,2,Played,T 2-2,2126218,FOR vs CAV (2020-08-14)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,3,1,2,0,2,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2,3,56,22,616,277,261,0.31,2,0,0.26,0,0,1,4,5,21,4,0,53,11,0,0,777,44,6,9,7,38,53.6%,15,6,35,3,3,3,5,2,6,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,1,0,0,1,0,0,1,1,4,4,217,214,346,24,32.0%,87.3%,280,114,144,150,306,160,58.3%,24,1.25,0,23,27,27,7,4,0.26,0.05,0.26,0.05,0.31,5,3,0.04,7,0.13,0.20,25.9%,9.00,10,17,4,17,4,15377,,,FOR vs EDM,true,false,true,false,false,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,73xrv2025rnj0t3y9ayp83bec,6925,6925,Forge,Edmonton,EDM,2,0,Played,W 2-0,2126225,FOR vs EDM (2020-08-16)
1,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,5,5,0,0,1,4,2,1,1,1,1,0,1,0,0,0,1,0,0,1,2,6,59,22,512,232,199,1.59,1,0,0.31,2,0,1,3,4,22,2,1,44,13,0,0,706,65,8,3,19,42,50.0%,11,6,51,7,2,9,4,7,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,21,191,238,277,23,33.8%,84.2%,188,84,159,103,225,184,30.0%,10,0.35,1,14,29,29,9,4,0.61,0.98,0.61,0.98,0.80,4,2,0.16,10,0.07,0.00,48.8%,18.00,24,20,16,20,16,15377,,,HFX vs FOR,false,true,false,true,false,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,1,1,Played,T 1-1,2126238,HFX vs FOR (2020-08-20)
