Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,8,5,3,4,4,9,3,5,0,0,1,0,0,0,0,0,2,2,0,0,7,6,49,12,392,141,190,2.05,0,0,1.89,2,2,2,19,21,21,4,1,50,5,3,2,613,56,11,6,8,33,54.8%,7,3,46,0,2,5,3,2,8,0,0,1,0,0,0,1,2,2,0,0,5,0,0,4,3,0,0,5,3,2,0,1,0,1,0,0,0,2,3,6,12,187,137,289,38,37.5%,84.4%,193,65,73,78,226,88,60.0%,25,1.64,0,26,18,18,8,7,1.56,0.49,1.56,0.49,2.05,21,4,0.08,25,0.38,0.44,29.4%,14,11,11,23,11,15376,,VAL vs HFX,false,true,false,false,true,2021-06-30,191wl8nypey86wqfcks18lkb8,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,0,2,Played,L 0-2,2208274,VAL vs HFX (2021-06-30)
2,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,7,6,1,1,6,11,4,2,0,0,1,0,1,0,0,1,4,3,0,0,1,10,54,15,499,229,201,3.37,1,1,3.07,4,4,8,12,20,27,5,4,53,13,2,0,716,61,10,15,5,34,69.4%,4,2,58,5,5,7,6,0,1,3,0,0,0,0,1,0,1,1,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,1,0,0,0,2,1,4,9,219,190,307,37,30.3%,86.2%,222,81,127,96,254,149,38.1%,21,1.07,1,31,17,17,12,5,0.89,2.47,0.89,2.47,3.37,19,1,0.13,25,0.32,0.22,35.0%,20,13,10,23,10,15380,,PAC vs ATO,true,false,false,true,false,2021-09-19,bkahvwvwy47ppkgru4td18fmc,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Pacific,Atlético Ottawa,ATO,1,1,Played,T 1-1,2227626,PAC vs ATO (2021-09-19)
2,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,2,4,3,4,12,4,6,0,0,1,0,0,0,0,0,2,1,0,0,7,8,51,8,574,212,303,1.71,0,0,1.43,1,1,6,14,20,34,1,0,65,18,5,1,797,44,9,16,4,33,75.8%,4,2,60,2,0,10,7,1,6,2,0,1,0,1,0,0,2,2,0,0,5,0,0,2,1,2,0,3,4,1,0,3,0,2,1,0,0,0,4,4,8,259,122,416,25,30.3%,89.7%,313,120,82,142,343,89,72.7%,11,2.26,0,24,10,10,18,5,0.87,0.84,0.87,0.84,1.71,20,1,0.07,25,0.25,0.19,45.8%,30,9,10,23,10,15378,,ATO vs VAL,false,true,false,false,true,2021-10-20,bmf3t08pi8pq49tooe5ly06c4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Valour,Atlético Ottawa,ATO,0,2,Played,L 0-2,2227653,ATO vs VAL (2021-10-20)
4,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,10,7,3,2,1,8,1,7,0,0,0,0,4,0,4,0,2,1,3,1,8,7,52,18,598,283,245,2.8,4,3,2.71,5,5,0,19,19,20,4,3,49,17,1,0,813,39,9,7,17,42,59.3%,8,3,53,4,1,6,1,3,7,1,0,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,8,218,238,357,39,30.8%,88.3%,268,105,155,121,303,174,41.7%,12,0.49,1,15,18,18,15,9,2.8,0,2.8,0,2.8,16,0,0.13,21,0.27,0.29,40.5%,20,24,8,23,8,15377,,FOR vs HFX,true,false,true,false,false,2021-10-30,bkddrc3my9vwakls2bt55cg7o,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Forge,HFX Wanderers,HFX,4,1,Played,W 4-1,2227627,FOR vs HFX (2021-10-30)
4,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,6,2,4,8,3,4,2,2,0,0,1,0,0,1,1,0,0,1,1,0,4,5,45,14,486,212,215,1.87,1,1,1.73,1,1,3,16,19,15,1,1,42,9,3,2,673,53,4,15,15,42,52.8%,8,5,67,5,2,9,2,2,3,1,0,0,0,0,0,2,1,1,0,0,5,0,0,3,2,1,0,4,2,3,0,2,0,2,0,0,0,3,3,4,7,207,168,298,24,27.8%,87.9%,228,88,111,104,260,122,41.2%,17,2.06,0,29,16,16,19,7,0.85,1.02,0.85,1.02,1.87,18,4,0.09,21,0.17,0.1,31.0%,23,16,14,22,14,16614,,ATO vs YRK,true,false,false,true,false,2021-08-18,bi3w83wq6l5k0ay817xfhc5xw,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Atlético Ottawa,York United,YRK,1,1,Played,T 1-1,2227597,ATO vs YRK (2021-08-18)
6,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,5,5,0,1,2,12,4,4,0,0,1,0,2,0,2,0,3,1,0,2,4,8,59,19,346,128,140,2.31,2,2,2.19,4,4,4,13,17,22,1,0,50,10,1,0,559,58,5,10,13,42,48.4%,14,5,52,9,2,5,2,3,4,3,0,0,0,0,0,0,1,1,0,0,8,1,0,4,5,2,0,5,6,2,1,3,0,1,2,0,0,2,2,0,10,159,167,233,34,41.6%,77.5%,128,54,86,71,164,111,76.2%,21,1.77,2,16,26,26,15,1,2.06,0.25,2.06,0.25,2.31,15,3,0.12,20,0.69,0.7,39.5%,21,14,14,15,14,15382,,YRK vs VAL,true,false,true,false,false,2021-09-26,bkvj7w12bpzuibxw3rioaledw,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,York United,Valour,VAL,2,1,Played,W 2-1,2227633,YRK vs VAL (2021-09-26)
6,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,9,7,2,4,2,8,3,4,0,0,1,0,1,0,0,0,1,0,0,1,6,10,77,7,469,190,195,2.06,1,1,1.59,2,2,4,13,17,35,2,1,54,12,0,0,669,59,9,7,4,30,53.3%,9,3,66,1,2,4,4,3,6,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,2,0,2,0,1,0,1,0,0,0,2,3,6,6,214,150,305,41,38.4%,82.1%,212,75,98,103,257,109,50.0%,26,2,1,26,15,15,13,2,0.89,1.17,0.89,1.17,2.06,16,3,0.09,23,0.35,0.38,48.9%,17,10,13,30,13,15382,,YRK vs EDM,true,false,false,true,false,2021-10-17,bm96l5mmiri0cq84lsmia3mdw,73xrv2025rnj0t3y9ayp83bec,6925,6925,York United,Edmonton,EDM,1,1,Played,T 1-1,2227651,YRK vs EDM (2021-10-17)
6,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,7,5,2,1,1,12,5,3,0,0,0,0,0,1,1,0,1,0,1,0,10,8,53,24,420,213,130,2.79,1,1,2.52,4,4,3,14,17,31,5,2,58,21,2,2,635,52,10,14,9,57,64.9%,20,8,67,3,1,6,1,3,6,4,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,11,118,233,284,34,37.9%,81.7%,194,38,111,48,227,145,21.4%,14,0.99,0,7,42,42,12,3,2.19,0.6,2.19,0.6,2.79,16,3,0.13,21,0.43,0.33,27.6%,17,26,10,15,10,16614,,ATO vs YRK,true,false,false,true,false,2021-10-24,bmr15sxmx3xw1opiyac1pcv84,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Atlético Ottawa,York United,YRK,1,1,Played,T 1-1,2227657,ATO vs YRK (2021-10-24)
9,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,4,4,2,2,10,4,1,0,0,0,0,2,1,3,0,3,0,2,1,6,9,61,18,499,230,190,1.43,3,3,1.17,1,1,6,10,16,23,1,1,43,12,0,0,672,44,6,8,8,28,70.0%,5,3,58,0,4,9,1,1,6,1,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,200,196,276,27,29.5%,84.2%,197,93,130,112,226,161,47.4%,19,0.37,1,20,13,13,12,3,0.89,0.54,0.89,0.54,1.43,13,2,0.06,22,0.45,0.33,40.6%,21,16,4,18,4,15380,,PAC vs VAL,true,false,true,false,false,2021-10-16,bm6dl6ry29l7um4hlyqh8f2fo,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2227650,PAC vs VAL (2021-10-16)
9,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,7,4,3,5,1,7,2,3,1,1,0,0,2,0,1,0,2,0,1,1,4,8,54,23,443,237,129,2.89,2,1,2.03,4,3,4,12,16,30,2,1,68,16,3,2,635,47,10,14,2,37,72.7%,11,5,49,2,7,6,4,2,10,1,0,0,1,1,1,0,3,3,0,1,4,1,0,2,1,0,0,3,1,3,1,1,0,0,2,0,0,3,4,0,6,118,244,273,21,33.6%,82.6%,175,34,157,51,207,185,80.0%,15,2.23,2,14,23,23,12,2,1.17,1.71,1.17,1.71,2.1,15,2,0.14,20,0.43,0.75,35.1%,11,20,15,12,15,15378,,PAC vs VAL,false,true,false,false,true,2021-08-29,biun3bptgp2xvomjrh73s26ms,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,3,Played,L 2-3,2227607,PAC vs VAL (2021-08-29)
